Feature,Coefficient,Absolute
categorical__DeviceInfo_ONE TOUCH 4033A Build/JDQ39,79.73974472125265,79.73974472125265
categorical__id_30_Mac OS X 10_9_5,79.70391519204819,79.70391519204819
categorical__id_33_1280x768,-79.26443804244032,79.26443804244032
categorical__id_30_Mac OS X 10_11_5,79.10416494154555,79.10416494154555
categorical__id_31_chrome 57.0 for android,-79.10280070423076,79.10280070423076
numeric__V294,79.08746604253345,79.08746604253345
categorical__id_33_2220x1080,-78.94148755824821,78.94148755824821
categorical__R_emaildomain_twc.com,78.87377681717327,78.87377681717327
categorical__id_33_2560x1600,-78.7702245729307,78.7702245729307
categorical__DeviceInfo_LG-H810,-78.57883023826807,78.57883023826807
categorical__DeviceInfo_F3113 Build/33.2.A.4.70,-78.51656403953089,78.51656403953089
numeric__C14,-78.37160671860832,78.37160671860832
categorical__id_33_1280x720,-78.04050031176695,78.04050031176695
categorical__DeviceInfo_SM-G800F Build/KOT49H,-78.03086415517619,78.03086415517619
categorical__P_emaildomain_outlook.es,-77.91950462981742,77.91950462981742
categorical__id_33_2208x1242,-77.3928661838737,77.3928661838737
categorical__DeviceInfo_SAMSUNG SM-J500M Build/LMY48B,77.21008244853776,77.21008244853776
numeric__V232,77.11899044211977,77.11899044211977
categorical__id_30_Mac OS X 10_12_4,76.58773469732081,76.58773469732081
categorical__DeviceInfo_Edison,75.56405858240468,75.56405858240468
categorical__DeviceInfo_SM-T280 Build/LMY47V,75.53443202154484,75.53443202154484
categorical__id_33_801x480,-75.39846280104126,75.39846280104126
categorical__DeviceInfo_SM-T230NU Build/KOT49H,75.07110405373191,75.07110405373191
numeric__V203,-74.83084736518725,74.83084736518725
categorical__id_33_2001x1125,-74.64622320370209,74.64622320370209
categorical__P_emaildomain_protonmail.com,-73.89171733844913,73.89171733844913
categorical__DeviceInfo_LG-H420 Build/LRX21Y,73.80154779311101,73.80154779311101
categorical__P_emaildomain_yahoo.es,72.85577685255308,72.85577685255308
categorical__DeviceInfo_SM-T818V,72.60298579150778,72.60298579150778
numeric__V187,72.53955091842933,72.53955091842933
categorical__DeviceInfo_KFASWI Build/LVY48F,72.10475649700182,72.10475649700182
categorical__id_30_Mac OS X 10.9,72.05316449882915,72.05316449882915
categorical__DeviceInfo_SAMSUNG-SGH-I337 Build/KOT49H,71.57391815277964,71.57391815277964
categorical__DeviceInfo_Z836BL,71.49305198629769,71.49305198629769
categorical__DeviceInfo_TA-1039 Build/N2G47H,-71.37837882244477,71.37837882244477
categorical__DeviceInfo_SAMSUNG SM-J700M Build/MMB29K,71.19045571308912,71.19045571308912
categorical__DeviceInfo_SAMSUNG,70.81414575725215,70.81414575725215
