Feature,Importance
categorical__DeviceInfo_Moto Z2 Play Build/NPS26.74-16-1,0.0001451669746239725
numeric__V116,0.0001425295232567296
categorical__M2_T,0.0001403071987615077
numeric__V3,0.0001376430582717213
categorical__M9_T,0.00013147041957097818
categorical__P_emaildomain_msn.com,0.0001242675256006124
categorical__DeviceInfo_NX785QC8G,0.00012417727971474824
categorical__id_33_2048x1536,0.0001234319599580747
numeric__V162,0.00012294353208244435
categorical__id_31_safari generic,0.00011940298531113823
numeric__V161,0.00011769845174757116
categorical__id_33_2560x1440,0.00011673225512549138
categorical__id_31_opera 49.0,0.00011436578805165335
categorical__DeviceInfo_Z410,0.0001126009135757617
categorical__DeviceInfo_BLL-L23 Build/HUAWEIBLL-L23,0.00011246180573978227
numeric__id_11,0.00011233561913528806
numeric__V9,0.00011210005895756107
numeric__V119,0.00010949602327961418
